#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
889,Kirby Snead,SEA,RP,L,12.4,0.0,0.0,42.9,9.9,0.5,0.5,0,4,4.30,4.61,1.45,8.8,4.3,10.1,0.5,4.8,5.2,1,45.7,34.0,20.3,0.302,669912
890,Chris Archer,FA,SP,R,1.9,1.9,0.7,38.0,9.5,0.5,0.6,0,0,5.04,5.06,1.45,7.9,3.9,9.9,0.4,5.3,5.7,2,39.8,39.9,20.3,0.295,6345
891,Oliver Ortega,HOU,RP,R,6.3,0.0,0.0,40.4,9.5,0.5,0.4,0,1,4.23,4.33,1.36,9.3,3.9,9.1,0.4,4.5,4.8,1,43.8,36.4,19.8,0.295,661383
892,Seth Blair,FA,RP,R,9.3,0.0,0.0,28.4,9.3,0.4,0.5,0,1,4.85,5.18,1.46,7.8,3.9,9.7,0.7,5.0,5.4,1,40.6,38.0,21.4,0.302,518464
893,Luis Gonzalez,BAL,RP,L,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.43,4.76,1.40,8.4,3.8,9.2,0.4,4.6,4.9,1,38.4,40.3,21.2,0.295,593574
894,Tayler Scott,HOU,RP,R,9.3,0.0,0.0,40.1,9.3,0.5,0.4,0,1,4.28,4.44,1.38,9.1,3.6,9.2,0.4,4.4,4.8,1,42.6,37.4,19.9,0.304,605463
895,Gerson Moreno,OAK,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.42,4.81,1.46,9.6,5.1,8.5,0.6,4.7,5.0,1,37.1,41.5,21.4,0.291,642575
896,Diomar Lopez,FA,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,5.00,5.23,1.53,7.5,4.4,9.9,0.5,5.2,5.5,1,41.9,36.7,21.4,0.307,650841
897,Zach Logue,ATL,RP,L,6.2,0.0,0.0,37.2,9.3,0.5,0.4,0,1,4.63,4.88,1.36,7.5,2.8,9.8,0.5,4.7,5.1,1,38.1,41.4,20.4,0.298,656657
898,Tyler Schrimpf,FA,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,5.21,5.49,1.60,8.1,5.2,9.6,0.5,5.4,5.7,1,39.3,39.1,21.5,0.304,656937
899,Matt Blackham,FA,RP,R,9.3,0.0,0.0,34.5,9.3,0.4,0.5,0,1,4.64,4.83,1.45,9.0,4.4,9.1,0.4,4.8,5.1,1,38.9,39.7,21.4,0.299,657518
900,Enoli Paredes,MIL,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.42,4.81,1.51,9.6,5.4,8.7,0.5,4.5,4.9,1,43.6,36.2,20.2,0.300,660600
901,Francisco Perez,OAK,RP,L,9.3,0.0,0.0,39.6,9.3,0.4,0.5,0,1,4.27,4.73,1.47,8.9,5.0,8.7,0.4,4.6,4.9,1,39.6,39.9,20.4,0.294,660906
902,Thomas Szapucki,SF,RP,L,9.3,0.0,0.0,34.6,9.3,0.5,0.4,0,1,3.65,3.75,1.25,10.7,3.8,7.8,0.4,3.9,4.2,1,39.3,41.0,19.8,0.287,663378
903,Jovani Moran,MIN,RP,L,9.3,0.0,0.0,37.2,9.3,0.5,0.4,0,3,3.64,3.96,1.38,10.6,4.9,8.0,0.4,3.9,4.2,1,44.4,35.4,20.2,0.298,663558
904,Reiver Sanmartin,CIN,RP,L,9.3,0.0,0.0,37.2,9.3,0.5,0.4,0,1,4.28,4.60,1.44,8.3,3.8,9.6,0.3,4.1,4.5,1,48.9,30.5,20.6,0.313,665665
905,Matt Cronin,WSH,RP,L,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.93,5.35,1.53,8.2,4.9,9.3,0.4,5.0,5.4,1,37.4,41.1,21.5,0.299,669091
906,Wyatt Mills,BOS,RP,R,9.3,0.0,0.0,37.2,9.3,0.5,0.5,0,2,4.69,4.99,1.45,8.0,4.1,9.4,0.5,4.5,4.9,1,44.0,35.4,20.6,0.308,670090
907,Sean Guenther,DET,RP,L,9.3,0.0,0.0,37.2,9.3,0.5,0.5,0,1,3.97,4.17,1.30,8.4,3.2,8.9,0.5,4.1,4.5,1,43.1,36.7,20.1,0.296,674944
908,Kit Scheetz,FA,RP,L,9.3,0.0,0.0,35.6,9.3,0.4,0.5,0,1,4.82,5.27,1.55,7.5,4.5,9.9,0.4,5.0,5.3,1,42.1,36.5,21.5,0.308,677415
909,Ronny Henriquez,MIN,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.27,4.45,1.38,8.0,3.5,9.3,0.4,4.6,4.9,1,43.6,36.3,20.1,0.297,678692
